,tf_selection,tf_number,delta_magnitude,v_modulation,beta,tfs,delta,most_similar_cell,cosine_to_most_similar,cosine_to_target,time_to_converge
4377,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Trps1')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4378,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Tsc22d1')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4379,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Zbtb16')","(1.0, 1.0, 1.0)",stromal cell,0.995768347,0.621920077,50
4380,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Zeb1')","(1.0, 1.0, 1.0)",stromal cell,0.995768438,0.621920741,50
4381,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Zeb2')","(1.0, 1.0, 1.0)",stromal cell,0.995768431,0.621920695,50
4382,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Zfp536')","(1.0, 1.0, 1.0)",stromal cell,0.995768449,0.621920823,50
4383,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Zfp612')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4384,only,3,1,tmp,50,"('Isl1', 'Meis3', 'Zfp9')","(1.0, 1.0, 1.0)",type B pancreatic cell,0.999958061,0.732562931,50
4385,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Nfib')","(1.0, 1.0, 1.0)",neuron,0.988759182,0.988759182,17.33466934
4386,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Nfix')","(1.0, 1.0, 1.0)",neuron,0.988916397,0.988916397,17.33466934
4387,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Nr1d1')","(1.0, 1.0, 1.0)",neuron,0.989398278,0.989398278,17.33466934
4388,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Olig2')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791885,0.72325901,50
4389,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Peg3')","(1.0, 1.0, 1.0)",type B pancreatic cell,0.999958061,0.732562931,50
4390,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Plagl1')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4391,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Pou3f2')","(1.0, 1.0, 1.0)",neuron,0.988071111,0.988071111,17.33466934
4392,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Rora')","(1.0, 1.0, 1.0)",neuron,0.988472669,0.988472669,17.33466934
4393,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Sox5')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791883,0.723259006,50
4394,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Sox9')","(1.0, 1.0, 1.0)",luminal epithelial cell of mammary gland,0.999970923,0.465263418,50
4395,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Tcf4')","(1.0, 1.0, 1.0)",neuron,0.989374462,0.989374462,17.33466934
4396,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Trps1')","(1.0, 1.0, 1.0)",neuron,0.988215232,0.988215232,17.33466934
4397,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Tsc22d1')","(1.0, 1.0, 1.0)",neuron,0.988151841,0.988151841,17.23446894
4398,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Zbtb16')","(1.0, 1.0, 1.0)",neuron,0.988081994,0.988081994,17.33466934
4399,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Zeb1')","(1.0, 1.0, 1.0)",neuron,0.988589972,0.988589972,17.33466934
4400,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Zeb2')","(1.0, 1.0, 1.0)",neuron,0.988333944,0.988333944,17.33466934
4401,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Zfp536')","(1.0, 1.0, 1.0)",neuron,0.988306863,0.988306863,17.33466934
4402,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Zfp612')","(1.0, 1.0, 1.0)",neuron,0.988947407,0.988947407,17.33466934
4403,only,3,1,tmp,50,"('Isl1', 'Myt1l', 'Zfp9')","(1.0, 1.0, 1.0)",type B pancreatic cell,0.999958061,0.732562931,50
4404,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Nfix')","(1.0, 1.0, 1.0)",neuronal stem cell,1,0.786715334,50
4405,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Nr1d1')","(1.0, 1.0, 1.0)",pancreatic stellate cell,0.99997215,0.683056104,50
4406,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Olig2')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4407,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Peg3')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
